epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.58,1.8896,2.05154,1.55373,0.63536,0.08293,0.12059,0.05386,2.63036,3.51313,1.96122,0.200243,0.000199827,0.000199827
2,972.334,1.72818,1.68156,1.44513,0.33268,0.26383,0.19476,0.0763,2.54499,2.47994,1.80123,0.150443,0.000399431,0.000399431
3,1316.56,1.64887,1.55703,1.39465,0.47234,0.3388,0.34512,0.17346,1.78079,1.60975,1.36867,0.100642,0.000598639,0.000598639
4,1652.36,1.57965,1.45597,1.34901,0.50437,0.36605,0.38061,0.19156,1.76104,1.50422,1.34183,0.0508407,0.000797452,0.000797452
5,2203.44,1.55366,1.41808,1.33282,0.56206,0.41412,0.4514,0.23435,1.71759,1.38223,1.30162,0.00103908,0.000995868,0.000995868
6,2541.65,1.52564,1.37501,1.31324,0.5809,0.41997,0.46254,0.24549,1.63746,1.35353,1.27387,0.00099505,0.00099505,0.00099505
7,2876.36,1.49123,1.32271,1.29067,0.62019,0.43876,0.4922,0.25973,1.64679,1.29613,1.27773,0.00099406,0.00099406,0.00099406
8,3214.77,1.46698,1.28939,1.27662,0.63976,0.46554,0.52444,0.27765,1.63583,1.22862,1.24857,0.00099307,0.00099307,0.00099307
9,3553.16,1.4451,1.25922,1.26212,0.64737,0.47818,0.54035,0.2979,1.57365,1.18079,1.22375,0.00099208,0.00099208,0.00099208
10,3890.84,1.42951,1.23874,1.25183,0.68026,0.48305,0.55309,0.30642,1.57187,1.17074,1.21712,0.00099109,0.00099109,0.00099109
11,4724.97,1.41458,1.2176,1.24261,0.67169,0.50339,0.56995,0.31755,1.56512,1.1484,1.21413,0.0009901,0.0009901,0.0009901
12,5064.91,1.4034,1.20183,1.23384,0.69704,0.49667,0.57801,0.31881,1.55933,1.1306,1.20135,0.00098911,0.00098911,0.00098911
13,5403.3,1.39215,1.18717,1.22448,0.69184,0.50555,0.58098,0.30631,1.64594,1.13601,1.23833,0.00098812,0.00098812,0.00098812
14,5740.01,1.37738,1.16878,1.21055,0.68656,0.51803,0.59116,0.32347,1.58125,1.1124,1.20647,0.00098713,0.00098713,0.00098713
15,6079.18,1.36705,1.15348,1.20245,0.706,0.51878,0.59717,0.33645,1.53438,1.09193,1.18571,0.00098614,0.00098614,0.00098614
16,6413.57,1.35875,1.14099,1.19624,0.71161,0.52292,0.60517,0.35178,1.46645,1.0692,1.15947,0.00098515,0.00098515,0.00098515
17,6749.62,1.34826,1.13056,1.18951,0.70232,0.53463,0.61302,0.35819,1.455,1.0573,1.15126,0.00098416,0.00098416,0.00098416
18,7132.16,1.34578,1.12206,1.18515,0.72677,0.53272,0.61776,0.3642,1.42557,1.0482,1.14151,0.00098317,0.00098317,0.00098317
19,7467.23,1.33681,1.11175,1.17827,0.7238,0.53347,0.62014,0.36744,1.42573,1.04007,1.13817,0.00098218,0.00098218,0.00098218
20,8212.43,1.33214,1.10438,1.17475,0.72456,0.54084,0.62416,0.36855,1.43421,1.0357,1.14032,0.00098119,0.00098119,0.00098119
21,8546.8,1.32678,1.09705,1.17141,0.73175,0.54097,0.62803,0.37029,1.43164,1.03182,1.13713,0.0009802,0.0009802,0.0009802
22,9331.47,1.322,1.09001,1.16804,0.72993,0.54298,0.63006,0.37348,1.41983,1.02528,1.13211,0.00097921,0.00097921,0.00097921
23,9664.95,1.31541,1.08102,1.16467,0.72516,0.54714,0.6309,0.37601,1.41177,1.01931,1.12903,0.00097822,0.00097822,0.00097822
24,9999.62,1.30866,1.07393,1.16069,0.72507,0.55051,0.6333,0.37858,1.40254,1.01403,1.1255,0.00097723,0.00097723,0.00097723
25,10334.2,1.30764,1.06742,1.15878,0.72936,0.55171,0.63509,0.38105,1.39775,1.01023,1.12336,0.00097624,0.00097624,0.00097624
26,11016.9,1.30224,1.06317,1.15575,0.73443,0.55225,0.63682,0.38169,1.39518,1.00681,1.12197,0.00097525,0.00097525,0.00097525
27,11350.8,1.29766,1.05802,1.15355,0.73478,0.55294,0.638,0.38337,1.38932,1.00338,1.11923,0.00097426,0.00097426,0.00097426
28,12374.6,1.29378,1.05123,1.15195,0.73366,0.55427,0.63931,0.38464,1.38589,1.00091,1.11786,0.00097327,0.00097327,0.00097327
29,12707.6,1.28938,1.04529,1.14891,0.73613,0.55517,0.64033,0.3854,1.38534,0.99862,1.11722,0.00097228,0.00097228,0.00097228
30,13040.1,1.28767,1.04145,1.14682,0.73811,0.55425,0.64166,0.38594,1.38604,0.99684,1.11674,0.00097129,0.00097129,0.00097129
31,13377.4,1.28358,1.03725,1.14302,0.7393,0.55464,0.64189,0.38645,1.38652,0.99519,1.11605,0.0009703,0.0009703,0.0009703
32,14146.8,1.27787,1.03022,1.14077,0.73703,0.55755,0.64343,0.38736,1.38789,0.99326,1.11577,0.00096931,0.00096931,0.00096931
33,14478.8,1.27758,1.0272,1.14021,0.7384,0.55743,0.64392,0.38827,1.38512,0.9918,1.11434,0.00096832,0.00096832,0.00096832
34,15439.5,1.2748,1.02564,1.13766,0.73783,0.5595,0.64433,0.38868,1.38512,0.99025,1.1139,0.00096733,0.00096733,0.00096733
35,15775.4,1.27107,1.01978,1.13515,0.73881,0.55877,0.64546,0.38944,1.38441,0.98867,1.11335,0.00096634,0.00096634,0.00096634
36,16540,1.26909,1.0151,1.13356,0.7366,0.55887,0.64605,0.39009,1.38382,0.98713,1.11263,0.00096535,0.00096535,0.00096535
37,16872.3,1.26544,1.01085,1.13049,0.73684,0.56121,0.64692,0.39022,1.38453,0.98595,1.11232,0.00096436,0.00096436,0.00096436
38,17347.2,1.26174,1.00634,1.12961,0.73729,0.56146,0.6479,0.39081,1.38558,0.98468,1.11243,0.00096337,0.00096337,0.00096337
39,17682.6,1.26128,1.00322,1.12857,0.74173,0.56078,0.64896,0.39137,1.38822,0.98364,1.11271,0.00096238,0.00096238,0.00096238
40,18326.3,1.25718,0.99914,1.12717,0.73887,0.56473,0.64994,0.39195,1.39101,0.98304,1.11315,0.00096139,0.00096139,0.00096139
41,18661.3,1.25358,0.99584,1.12455,0.74685,0.56208,0.6506,0.39217,1.39341,0.98197,1.11342,0.0009604,0.0009604,0.0009604
42,19329.3,1.25288,0.99333,1.12397,0.74273,0.56514,0.65189,0.39254,1.39585,0.98123,1.11364,0.00095941,0.00095941,0.00095941
43,19662.1,1.25305,0.99311,1.12369,0.74208,0.56636,0.65263,0.39272,1.39864,0.98078,1.11407,0.00095842,0.00095842,0.00095842
44,20026.9,1.24828,0.98642,1.11984,0.74378,0.56646,0.65345,0.39311,1.40176,0.98026,1.11471,0.00095743,0.00095743,0.00095743
45,20357.7,1.24891,0.98506,1.11958,0.74339,0.56574,0.65405,0.39294,1.40304,0.97921,1.11452,0.00095644,0.00095644,0.00095644
46,21219.6,1.24637,0.98479,1.11905,0.74226,0.56789,0.6547,0.39315,1.40597,0.97879,1.11492,0.00095545,0.00095545,0.00095545
47,21553.7,1.24326,0.97848,1.11639,0.74442,0.56829,0.6557,0.39322,1.40898,0.9777,1.1154,0.00095446,0.00095446,0.00095446
