epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.471,2.10037,2.55596,1.76843,0.2855,0.1388,0.1255,0.04401,2.55625,2.69087,1.87336,0.200286,0.000199655,0.000199655
2,219.25,1.85379,2.00304,1.59216,0.38381,0.23542,0.19315,0.06974,2.4775,2.73073,1.84386,0.150473,0.000386466,0.000386466
3,320.384,1.79562,1.86828,1.53759,0.33082,0.25414,0.22501,0.09638,2.14972,2.06225,1.59926,0.100646,0.000560077,0.000560077
4,421.83,1.73434,1.76541,1.49384,0.38003,0.27586,0.2551,0.10079,2.27194,1.91959,1.6408,0.0508068,0.000720489,0.000720489
5,522.761,1.69277,1.69701,1.45674,0.39429,0.3064,0.29457,0.13288,2.04717,1.76743,1.49724,0.000954056,0.0008677,0.0008677
6,622.261,1.64214,1.6162,1.42342,0.43306,0.31605,0.31179,0.14407,2.03603,1.78939,1.49324,0.000835,0.000835,0.000835
7,724.366,1.60847,1.56869,1.39844,0.44689,0.32444,0.33385,0.15182,2.01962,1.66286,1.47721,0.000802,0.000802,0.000802
8,822.862,1.57388,1.53006,1.37803,0.46769,0.36054,0.36337,0.17571,1.88351,1.58066,1.41106,0.000769,0.000769,0.000769
9,922.065,1.53865,1.47741,1.35477,0.47277,0.35203,0.35848,0.17366,1.87612,1.56487,1.42129,0.000736,0.000736,0.000736
10,1022.51,1.51024,1.43714,1.33842,0.49156,0.37638,0.39644,0.20349,1.75173,1.51503,1.34558,0.000703,0.000703,0.000703
11,1123.42,1.49245,1.40602,1.3267,0.51477,0.38698,0.40369,0.20324,1.79774,1.48582,1.34753,0.00067,0.00067,0.00067
12,1223.17,1.47031,1.38507,1.31221,0.53229,0.38079,0.40297,0.20816,1.74616,1.46373,1.34397,0.000637,0.000637,0.000637
13,1323.06,1.46085,1.36736,1.30422,0.54956,0.39321,0.42433,0.21595,1.78601,1.4327,1.3498,0.000604,0.000604,0.000604
14,1424,1.44261,1.33482,1.29102,0.54633,0.40149,0.42954,0.22545,1.72489,1.41031,1.33047,0.000571,0.000571,0.000571
15,1524.9,1.42321,1.30831,1.27821,0.54024,0.39898,0.42503,0.22465,1.64929,1.42733,1.28158,0.000538,0.000538,0.000538
16,1624.05,1.40962,1.29196,1.27069,0.5475,0.41253,0.4384,0.23446,1.65771,1.38525,1.27626,0.000505,0.000505,0.000505
17,1726.89,1.39606,1.27245,1.26138,0.55428,0.41,0.43411,0.2295,1.70892,1.40991,1.30149,0.000472,0.000472,0.000472
18,1825.4,1.38135,1.25436,1.24979,0.57414,0.41686,0.45569,0.24694,1.65745,1.36811,1.28423,0.000439,0.000439,0.000439
19,1925.16,1.36893,1.23364,1.24121,0.57203,0.4212,0.45593,0.25026,1.59048,1.34251,1.25692,0.000406,0.000406,0.000406
20,2024.11,1.35963,1.21726,1.23252,0.5943,0.4292,0.47437,0.26143,1.60611,1.3112,1.25975,0.000373,0.000373,0.000373
21,2124.21,1.34182,1.19715,1.22382,0.58866,0.43291,0.4743,0.26246,1.59038,1.30271,1.24908,0.00034,0.00034,0.00034
22,2223.88,1.33319,1.18089,1.21845,0.59572,0.44176,0.48331,0.26585,1.61589,1.30363,1.25942,0.000307,0.000307,0.000307
23,2322.33,1.31234,1.15819,1.20538,0.6064,0.44289,0.48873,0.27134,1.60351,1.29196,1.24881,0.000274,0.000274,0.000274
24,2421.86,1.31082,1.15028,1.20431,0.61843,0.44547,0.49486,0.27406,1.60144,1.27269,1.2492,0.000241,0.000241,0.000241
25,2522.14,1.29449,1.13167,1.1933,0.61293,0.45091,0.49839,0.28124,1.56206,1.25708,1.23363,0.000208,0.000208,0.000208
26,2620.88,1.28665,1.11684,1.18699,0.62302,0.44986,0.49984,0.28126,1.55703,1.25563,1.22842,0.000175,0.000175,0.000175
27,2718.96,1.27604,1.10715,1.1806,0.62478,0.44927,0.50133,0.28333,1.55005,1.24926,1.22354,0.000142,0.000142,0.000142
28,2818.96,1.26323,1.09029,1.17571,0.62402,0.453,0.50655,0.28815,1.54129,1.24164,1.21975,0.000109,0.000109,0.000109
29,2917.58,1.25151,1.07679,1.16983,0.6328,0.44935,0.50661,0.2879,1.53663,1.23767,1.21685,7.6e-05,7.6e-05,7.6e-05
30,3015.41,1.24042,1.06902,1.16428,0.63524,0.45382,0.51081,0.29075,1.53197,1.23456,1.2147,4.3e-05,4.3e-05,4.3e-05
