epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3884,1.79722,1.99982,1.46494,0.36268,0.21323,0.22907,0.11356,1.76178,2.34966,1.41484,0.200286,0.000199655,0.000199655
2,178.21,1.65923,1.61748,1.36963,0.47737,0.33502,0.33983,0.17719,1.73166,1.66069,1.38704,0.150473,0.000386466,0.000386466
3,259.408,1.61833,1.51974,1.35013,0.55963,0.36181,0.39473,0.2133,1.61291,1.50993,1.32024,0.100646,0.000560077,0.000560077
4,339.546,1.57182,1.44918,1.31378,0.55165,0.3632,0.39611,0.2165,1.62403,1.48078,1.31289,0.0508068,0.000720489,0.000720489
5,416.957,1.55049,1.40061,1.29883,0.56765,0.38246,0.42101,0.23666,1.58271,1.38956,1.2922,0.000954056,0.0008677,0.0008677
6,495.343,1.51356,1.34707,1.27253,0.58193,0.40248,0.44011,0.24583,1.55676,1.39556,1.2725,0.000835,0.000835,0.000835
7,577.117,1.49738,1.32319,1.25904,0.57551,0.42369,0.45491,0.26052,1.52957,1.3367,1.24889,0.000802,0.000802,0.000802
8,655.316,1.46934,1.28576,1.24585,0.60297,0.41832,0.46696,0.26774,1.53286,1.32165,1.25857,0.000769,0.000769,0.000769
9,733.076,1.45784,1.26108,1.2384,0.62673,0.41567,0.47347,0.27212,1.50941,1.30432,1.2368,0.000736,0.000736,0.000736
10,810.486,1.43808,1.2408,1.22652,0.61843,0.43227,0.48489,0.28193,1.49593,1.27472,1.23499,0.000703,0.000703,0.000703
11,889.466,1.43336,1.22752,1.22228,0.62488,0.43308,0.48483,0.28512,1.46516,1.27058,1.22198,0.00067,0.00067,0.00067
12,967.626,1.42143,1.21054,1.21531,0.64244,0.43481,0.49494,0.28848,1.48793,1.25589,1.22064,0.000637,0.000637,0.000637
13,1045.62,1.40702,1.18911,1.205,0.64397,0.45107,0.50598,0.29806,1.47389,1.22938,1.21723,0.000604,0.000604,0.000604
14,1124.85,1.4004,1.17582,1.19773,0.6428,0.44408,0.50338,0.29374,1.47381,1.25359,1.21172,0.000571,0.000571,0.000571
15,1202.51,1.38057,1.15809,1.19358,0.63626,0.452,0.5108,0.3037,1.45492,1.21127,1.20071,0.000538,0.000538,0.000538
16,1282.54,1.37732,1.14729,1.18184,0.65176,0.44365,0.50616,0.30133,1.4449,1.21478,1.20712,0.000505,0.000505,0.000505
17,1360.77,1.38045,1.1484,1.1855,0.6382,0.45931,0.51394,0.30643,1.44688,1.20992,1.19516,0.000472,0.000472,0.000472
18,1438.53,1.3612,1.13379,1.17538,0.65538,0.45428,0.51639,0.30773,1.435,1.19759,1.19126,0.000439,0.000439,0.000439
19,1516.31,1.35523,1.12149,1.16932,0.6593,0.46231,0.52362,0.31438,1.43874,1.19213,1.18972,0.000406,0.000406,0.000406
20,1593.81,1.3432,1.10164,1.16188,0.66069,0.46032,0.5279,0.31677,1.42867,1.18197,1.18159,0.000373,0.000373,0.000373
21,1672.4,1.33922,1.09304,1.15885,0.66558,0.46126,0.52785,0.3175,1.42595,1.1747,1.18165,0.00034,0.00034,0.00034
22,1749.21,1.33327,1.08693,1.15473,0.66859,0.46695,0.53382,0.32288,1.41959,1.16292,1.17982,0.000307,0.000307,0.000307
23,1826.45,1.32317,1.0711,1.15099,0.66787,0.46356,0.52866,0.31871,1.41726,1.1688,1.17494,0.000274,0.000274,0.000274
24,1903.51,1.31313,1.06666,1.14753,0.6793,0.46408,0.53433,0.3234,1.40977,1.15758,1.16934,0.000241,0.000241,0.000241
25,1980.6,1.30725,1.05354,1.14257,0.6665,0.46997,0.53553,0.32576,1.41068,1.15642,1.17185,0.000208,0.000208,0.000208
26,2058.04,1.29946,1.04583,1.13345,0.67201,0.47154,0.54052,0.32877,1.40657,1.14453,1.16561,0.000175,0.000175,0.000175
27,2135.09,1.29694,1.03882,1.13313,0.66205,0.4749,0.54048,0.32903,1.40261,1.14004,1.16642,0.000142,0.000142,0.000142
28,2211.79,1.28743,1.03098,1.13216,0.67076,0.47689,0.54261,0.33033,1.39856,1.13936,1.16411,0.000109,0.000109,0.000109
29,2289.28,1.28351,1.01598,1.12414,0.67735,0.47437,0.54355,0.33188,1.39697,1.13355,1.16299,7.6e-05,7.6e-05,7.6e-05
30,2368.26,1.27745,1.02121,1.12509,0.68135,0.47436,0.54512,0.33311,1.39469,1.13144,1.16167,4.3e-05,4.3e-05,4.3e-05
