epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.988,3.96365,4.80417,3.50224,0.43217,0.00716,0.00171,0.00042,3.89187,4.0791,3.20215,0.202083,0.00199655,0.00199655
2,231.547,3.06024,3.17224,2.64337,0.37759,0.07661,0.04393,0.01403,2.91868,3.09203,2.41879,0.153951,0.00386466,0.00386466
3,346.68,2.53002,2.60154,2.21064,0.33999,0.08122,0.07323,0.02701,2.63272,2.86848,2.25705,0.105687,0.00560077,0.00560077
4,448.594,2.25859,2.3003,1.99013,0.1723,0.11175,0.08212,0.0335,2.44245,2.7182,2.09564,0.0572912,0.00720489,0.00720489
5,550.635,2.08223,2.09549,1.84086,0.24519,0.19095,0.16137,0.06928,2.19055,2.15043,1.85952,0.00876336,0.008677,0.008677
6,650.762,1.95293,1.91899,1.73118,0.31677,0.20806,0.19142,0.08571,2.12321,2.09776,1.79906,0.00835,0.00835,0.00835
7,751.574,1.8393,1.77787,1.63828,0.34531,0.23723,0.22357,0.10318,2.02581,1.95306,1.73353,0.00802,0.00802,0.00802
8,850.372,1.75436,1.66464,1.57705,0.36535,0.24352,0.24194,0.1177,2.00253,1.97546,1.67991,0.00769,0.00769,0.00769
9,949.604,1.68718,1.57674,1.52227,0.39138,0.26963,0.2605,0.12546,1.96179,1.86608,1.67963,0.00736,0.00736,0.00736
10,1050.18,1.62199,1.48825,1.4771,0.41675,0.28449,0.27724,0.13427,1.91959,1.83492,1.63889,0.00703,0.00703,0.00703
11,1151.35,1.56999,1.42281,1.44319,0.39728,0.27516,0.26526,0.12934,1.94753,1.92415,1.65232,0.0067,0.0067,0.0067
12,1250.34,1.52908,1.36646,1.409,0.41199,0.29395,0.29058,0.14433,1.89691,1.78664,1.61104,0.00637,0.00637,0.00637
13,1348.85,1.48107,1.30835,1.37836,0.45249,0.30842,0.31351,0.15754,1.86312,1.69869,1.59938,0.00604,0.00604,0.00604
14,1447.87,1.43986,1.25555,1.35043,0.45168,0.3118,0.31763,0.16072,1.85918,1.65282,1.60986,0.00571,0.00571,0.00571
15,1547.5,1.39612,1.1997,1.31961,0.45519,0.32466,0.32782,0.16561,1.85578,1.64851,1.60029,0.00538,0.00538,0.00538
16,1646.38,1.35537,1.15232,1.29357,0.45807,0.33254,0.32897,0.16668,1.84664,1.62754,1.59625,0.00505,0.00505,0.00505
17,1744.69,1.32086,1.10847,1.26986,0.44508,0.3341,0.32614,0.16531,1.85266,1.61644,1.60031,0.00472,0.00472,0.00472
18,1843.58,1.27715,1.06104,1.24494,0.45361,0.32497,0.32278,0.16408,1.86442,1.65266,1.62447,0.00439,0.00439,0.00439
19,1941.43,1.24186,1.01595,1.22162,0.4595,0.3308,0.3285,0.16624,1.87589,1.6645,1.62972,0.00406,0.00406,0.00406
20,2038.44,1.20565,0.97386,1.19803,0.47982,0.33293,0.34298,0.17397,1.87361,1.69248,1.61803,0.00373,0.00373,0.00373
21,2135.83,1.16944,0.93113,1.17555,0.45631,0.33568,0.33024,0.16755,1.8761,1.68083,1.63728,0.0034,0.0034,0.0034
22,2233.86,1.12919,0.89011,1.15408,0.45523,0.32947,0.3271,0.16557,1.88971,1.68103,1.65527,0.00307,0.00307,0.00307
23,2330.79,1.09582,0.85521,1.1331,0.48095,0.31803,0.32767,0.16483,1.89693,1.68743,1.67292,0.00274,0.00274,0.00274
24,2427.79,1.05934,0.81858,1.11396,0.45982,0.3195,0.32028,0.16164,1.90531,1.71725,1.68109,0.00241,0.00241,0.00241
25,2524.75,1.02543,0.78708,1.09378,0.45777,0.32353,0.32355,0.16244,1.91032,1.71073,1.69287,0.00208,0.00208,0.00208
26,2622.47,0.98791,0.75775,1.07445,0.44991,0.3285,0.3222,0.16161,1.91614,1.71501,1.71036,0.00175,0.00175,0.00175
27,2718.71,0.95438,0.72827,1.05789,0.46792,0.31894,0.31988,0.15977,1.92967,1.76627,1.72227,0.00142,0.00142,0.00142
28,2814.88,0.91839,0.70121,1.04046,0.45913,0.31835,0.31847,0.15974,1.92663,1.75898,1.73249,0.00109,0.00109,0.00109
29,2911.1,0.88155,0.67454,1.0228,0.46212,0.31301,0.31573,0.15761,1.93881,1.79407,1.74495,0.00076,0.00076,0.00076
30,3008.32,0.84795,0.65625,1.00725,0.45417,0.31226,0.3138,0.15663,1.94726,1.82756,1.75212,0.00043,0.00043,0.00043
